epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,469.334,1.26234,2.23423,1.76989,0.02811,0.19071,0.09069,0.02339,4.61174,8.05899,4.53054,0.000365585,0.000365585,0.000365585
2,1044,0.87038,1.23582,1.37172,0.92822,0.95931,0.9669,0.79998,0.78693,1.42784,1.27922,0.000721348,0.000721348,0.000721348
1,431.231,1.26234,2.23423,1.76989,0.02811,0.19071,0.09069,0.02339,4.61174,8.05899,4.53054,0.000365585,0.000365585,0.000365585
2,805.406,0.82542,1.19586,1.33878,0.94002,0.95714,0.98491,0.89105,0.43374,1.36328,0.82134,0.000371639,0.000371639,0.000371639
1,386.468,1.26234,2.23423,1.76989,0.02811,0.19071,0.09069,0.02339,4.61174,8.05899,4.53054,0.000365585,0.000365585,0.000365585
2,694.652,0.82542,1.19586,1.33878,0.94002,0.95714,0.98491,0.89105,0.43374,1.36328,0.82134,0.000371639,0.000371639,0.000371639
1,320.616,1.26234,2.23423,1.76989,0.02811,0.19071,0.09069,0.02339,4.61174,8.05899,4.53054,0.000365585,0.000365585,0.000365585
2,691.194,0.82542,1.19586,1.33878,0.94002,0.95714,0.98491,0.89105,0.43374,1.36328,0.82134,0.000371639,0.000371639,0.000371639
1,361.532,1.26234,2.23423,1.76989,0.02811,0.19071,0.09069,0.02339,4.61174,8.05899,4.53054,0.000365585,0.000365585,0.000365585
2,707.675,0.82542,1.19586,1.33878,0.94002,0.95714,0.98491,0.89105,0.43374,1.36328,0.82134,0.000371639,0.000371639,0.000371639
1,478.254,1.26234,2.23423,1.76989,0.02811,0.19071,0.09069,0.02339,4.61174,8.05899,4.53054,0.000365585,0.000365585,0.000365585
2,961.497,0.82542,1.19586,1.33878,0.94002,0.95714,0.98491,0.89105,0.43374,1.36328,0.82134,0.000371639,0.000371639,0.000371639
1,349.561,1.26234,2.23423,1.76989,0.02811,0.19071,0.09069,0.02339,4.61174,8.05899,4.53054,0.000365585,0.000365585,0.000365585
2,688.426,0.82542,1.19586,1.33878,0.94002,0.95714,0.98491,0.89105,0.43374,1.36328,0.82134,0.000371639,0.000371639,0.000371639
1,426.654,1.26234,2.23423,1.76989,0.02811,0.19071,0.09069,0.02339,4.61174,8.05899,4.53054,0.000365585,0.000365585,0.000365585
2,739.797,0.82542,1.19586,1.33878,0.94002,0.95714,0.98491,0.89105,0.43374,1.36328,0.82134,0.000371639,0.000371639,0.000371639
1,311.142,1.26234,2.23423,1.76989,0.02811,0.19071,0.09069,0.02339,4.61174,8.05899,4.53054,0.000365585,0.000365585,0.000365585
2,603.767,0.82542,1.19586,1.33878,0.94002,0.95714,0.98491,0.89105,0.43374,1.36328,0.82134,0.000371639,0.000371639,0.000371639
1,309.468,1.25863,2.19846,1.76923,0.75631,0.37717,0.49816,0.33203,1.93414,3.63609,2.39391,0.000365585,0.000365585,0.000365585
2,600.53,0.82454,1.17843,1.33207,0.96688,0.94714,0.97969,0.80704,0.66286,1.75133,1.12099,0.000371639,0.000371639,0.000371639
1,619.02,1.25927,2.21309,1.7724,0.86064,0.88006,0.9157,0.68473,0.99968,2.14358,1.5477,0.000365585,0.000365585,0.000365585
1,706.916,1.26234,2.23423,1.76989,0.02811,0.19071,0.09069,0.02339,4.61174,8.05899,4.53054,0.000365585,0.000365585,0.000365585
2,1230.95,0.82862,1.20344,1.3403,0.8595,0.85588,0.88305,0.64285,1.00395,2.11713,1.44674,0.000371639,0.000371639,0.000371639
2,1319.9,0.82542,1.19586,1.33878,0.94002,0.95714,0.98491,0.89105,0.43374,1.36328,0.82134,0.000371639,0.000371639,0.000371639
1,713.721,1.0817,2.21628,1.59984,0.75228,0.78264,0.89748,0.78239,0.52388,1.89502,0.98251,0.00036763,0.00036763,0.00036763
1,550.782,1.11325,2.21279,1.62917,0.68893,0.54068,0.64537,0.4812,1.02182,2.65482,1.47126,0.00036763,0.00036763,0.00036763
2,1091.69,0.73338,1.27885,1.26424,0.84175,0.89417,0.96246,0.88387,0.47307,1.47443,0.83394,0.000372672,0.000372672,0.000372672
1,544.238,1.11325,2.21279,1.62917,0.68893,0.54068,0.64537,0.4812,1.02182,2.65482,1.47126,0.00036763,0.00036763,0.00036763
2,1080.52,0.73338,1.27885,1.26424,0.84175,0.89417,0.96246,0.88387,0.47307,1.47443,0.83394,0.000372672,0.000372672,0.000372672
1,534.037,0.87659,2.55733,1.72974,0.70819,0.78103,0.87489,0.73678,0.67872,2.12953,1.2698,0.00036763,0.00036763,0.00036763
2,1051.92,0.54309,1.38647,1.31628,0.69422,0.77961,0.79205,0.7424,0.40111,1.83249,0.78647,0.000664905,0.000664905,0.000664905
3,1558.84,0.50741,1.03584,1.28772,0.85228,0.90575,0.9398,0.90422,0.32198,0.99339,0.71034,0.000888854,0.000888854,0.000888854
4,2073.72,0.48264,0.80221,1.2458,0.91987,0.94593,0.98065,0.96383,0.25954,0.68906,0.6307,0.000781033,0.000781033,0.000781033
5,2584.32,0.45374,0.65485,1.22445,0.97201,0.97176,0.98403,0.97586,0.20609,0.49782,0.59554,0.000671044,0.000671044,0.000671044
6,3110.29,0.41335,0.53701,1.19376,0.94681,0.94198,0.97848,0.95709,0.25529,0.58193,0.66074,0.000561055,0.000561055,0.000561055
7,3658.1,0.40045,0.4388,1.1768,0.97814,0.97367,0.98685,0.933,0.31969,0.49357,0.71986,0.000451066,0.000451066,0.000451066
8,4196.48,0.36903,0.37461,1.14366,0.98494,0.96645,0.99072,0.99072,0.14254,0.36228,0.52599,0.000341077,0.000341077,0.000341077
9,4742.87,0.3744,0.34544,1.16149,0.99326,0.98884,0.99457,0.99457,0.16297,0.33018,0.5301,0.000231088,0.000231088,0.000231088
10,5290.87,0.33496,0.30203,1.11138,0.99447,0.99604,0.995,0.995,0.14005,0.27518,0.50746,0.000121099,0.000121099,0.000121099
1,671.521,2.0627,3.85427,2.73538,0.4631,0.37094,0.20907,0.06875,2.3112,6.41617,2.96699,0.000368142,0.000368142,0.000368142
2,1337.1,2.01196,2.89817,2.54995,0.6014,0.21483,0.17338,0.0532,2.33011,3.54294,2.98437,0.000665366,0.000665366,0.000665366
3,2009.39,2.03481,2.43656,2.542,0.3717,0.43587,0.29805,0.09969,2.24557,2.61447,2.81696,0.000889265,0.000889265,0.000889265
4,2682.94,2.0465,2.15307,2.53245,0.45916,0.41509,0.3916,0.11541,2.57068,2.18872,2.96105,0.000781033,0.000781033,0.000781033
5,3358.88,2.0236,1.96425,2.50777,0.54717,0.46689,0.44518,0.18766,1.89957,1.87659,2.61055,0.000671044,0.000671044,0.000671044
6,4038.32,2.00876,1.85463,2.49941,0.72212,0.51929,0.52227,0.21973,1.99443,1.8034,2.57122,0.000561055,0.000561055,0.000561055
7,4712.41,1.99333,1.80533,2.48483,0.57816,0.54434,0.5285,0.22614,1.8581,1.7378,2.51187,0.000451066,0.000451066,0.000451066
8,5387.44,1.97377,1.71534,2.45918,0.65581,0.63386,0.5752,0.25345,1.79713,1.60107,2.42944,0.000341077,0.000341077,0.000341077
9,6067.41,1.93006,1.66615,2.43475,0.6412,0.5691,0.54866,0.2567,1.67978,1.55691,2.36948,0.000231088,0.000231088,0.000231088
10,6742.45,1.88755,1.65768,2.42412,0.66745,0.63086,0.56837,0.25354,1.71615,1.5381,2.38229,0.000121099,0.000121099,0.000121099
1,638.934,1.28483,2.32422,1.78839,0.652,0.63952,0.60163,0.35791,1.46236,2.32544,2.35198,0.000368142,0.000368142,0.000368142
1,900.357,1.28169,2.30944,1.78619,0.47962,0.60314,0.5361,0.34775,1.36016,3.1386,2.35945,0.000368142,0.000368142,0.000368142
1,1235.82,1.25177,2.40503,1.72647,0.298,0.39297,0.24949,0.16313,1.4246,2.99022,2.24109,0.001111,0.001111,0.001111
