epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,123.52,0.71147,2.20898,1.22109,0.81662,0.27899,0.58906,0.40553,0.70497,3.22693,1.50142,0.00040012,0.00040012,0.00040012
2,261.77,0.7432,1.45148,1.21552,0.60574,0.52932,0.6399,0.4041,1.01932,3.05282,2.10877,0.000774211,0.000774211,0.000774211
3,461.452,0.7632,1.39726,1.23051,0.46055,0.39001,0.38647,0.24865,1.63423,3.6073,2.9154,0.00110727,0.00110727,0.00110727
4,724.702,0.83452,1.37231,1.2959,0.4202,0.41304,0.341,0.15369,1.43091,3.01289,2.41358,0.00121679,0.00121679,0.00121679
5,1079.42,0.7726,1.16022,1.20019,0.67433,0.69835,0.68232,0.46868,1.13665,2.50203,2.05344,0.00114606,0.00114606,0.00114606
6,1359.26,0.7649,1.1103,1.22086,0.55186,0.6524,0.70009,0.48541,0.97113,1.9843,2.02148,0.00107532,0.00107532,0.00107532
7,1555.54,0.70901,1.00038,1.17509,0.66777,0.67391,0.76908,0.516,1.09809,2.31426,2.0906,0.00100459,0.00100459,0.00100459
8,1744.75,0.72351,0.97081,1.20075,0.78528,0.70767,0.81566,0.57277,1.07342,2.08128,1.83155,0.000933851,0.000933851,0.000933851
9,1931.86,0.67528,0.94478,1.15957,0.88371,0.60308,0.81898,0.58173,1.03483,2.25993,1.76775,0.000863116,0.000863116,0.000863116
10,2135.31,0.66064,0.88633,1.14901,0.68176,0.8018,0.88527,0.68889,0.77931,1.44874,1.52696,0.00079238,0.00079238,0.00079238
1,200.982,0.70105,2.26298,1.23045,0.00481,1,0.55009,0.31257,0.98727,3.49462,1.89531,0.00040012,0.00040012,0.00040012
2,390.251,0.67284,1.44446,1.15783,0.74729,0.61433,0.90783,0.619,0.97547,2.99966,2.0833,0.000411338,0.000411338,0.000411338
11,2327.55,0.51372,0.94655,1.10418,0.89721,0.94203,0.9702,0.70855,0.84137,1.32903,1.58903,0.000721645,0.000721645,0.000721645
12,2455.89,0.46633,0.77109,1.05933,0.90773,0.78353,0.93436,0.76084,0.72899,1.14171,1.44109,0.000650909,0.000650909,0.000650909
13,2593.54,0.44938,0.73235,1.05339,0.87559,0.86827,0.9423,0.76801,0.77814,1.28113,1.50216,0.000580174,0.000580174,0.000580174
14,2718.85,0.42444,0.67062,1.00673,0.98403,0.89913,0.91807,0.75728,0.71556,0.90232,1.42574,0.000509438,0.000509438,0.000509438
15,2838.17,0.39196,0.60931,0.97354,0.87909,0.98551,0.97917,0.82202,0.6973,0.86757,1.3767,0.000438703,0.000438703,0.000438703
16,2954.99,0.38087,0.57367,0.9907,0.95613,0.91667,0.98361,0.80907,0.76052,0.96494,1.48148,0.000367967,0.000367967,0.000367967
17,3070.54,0.36724,0.55115,0.96175,0.93622,0.98188,0.97992,0.82502,0.63538,0.79844,1.33491,0.000297232,0.000297232,0.000297232
18,3194.1,0.3369,0.51401,0.94404,0.89537,0.97949,0.97183,0.83483,0.58722,0.75084,1.28558,0.000226497,0.000226497,0.000226497
19,3322.62,0.31433,0.4888,0.93321,0.92628,0.98161,0.98017,0.8545,0.57925,0.69274,1.27952,0.000155761,0.000155761,0.000155761
20,3447.29,0.31048,0.46601,0.94417,0.93593,0.96569,0.98414,0.85437,0.56014,0.65664,1.23949,8.50255e-05,8.50255e-05,8.50255e-05
1,172.402,0.70105,2.26298,1.23045,0.00481,1,0.55009,0.31257,0.98727,3.49462,1.89531,0.00040012,0.00040012,0.00040012
2,318.295,0.67284,1.44446,1.15783,0.74729,0.61433,0.90783,0.619,0.97547,2.99966,2.0833,0.000411338,0.000411338,0.000411338
1,135.443,0.70105,2.26298,1.23045,0.00481,1,0.55009,0.31257,0.98727,3.49462,1.89531,0.00040012,0.00040012,0.00040012
2,268.436,0.67284,1.44446,1.15783,0.74729,0.61433,0.90783,0.619,0.97547,2.99966,2.0833,0.000411338,0.000411338,0.000411338
1,134.091,0.70105,2.26298,1.23045,0.00481,1,0.55009,0.31257,0.98727,3.49462,1.89531,0.00040012,0.00040012,0.00040012
2,267.535,0.67284,1.44446,1.15783,0.74729,0.61433,0.90783,0.619,0.97547,2.99966,2.0833,0.000411338,0.000411338,0.000411338
1,132.771,0.70105,2.26298,1.23045,0.00481,1,0.55009,0.31257,0.98727,3.49462,1.89531,0.00040012,0.00040012,0.00040012
2,261.845,0.67284,1.44446,1.15783,0.74729,0.61433,0.90783,0.619,0.97547,2.99966,2.0833,0.000411338,0.000411338,0.000411338
1,157.589,0.70105,2.26298,1.23045,0.00481,1,0.55009,0.31257,0.98727,3.49462,1.89531,0.00040012,0.00040012,0.00040012
2,302.044,0.67284,1.44446,1.15783,0.74729,0.61433,0.90783,0.619,0.97547,2.99966,2.0833,0.000411338,0.000411338,0.000411338
1,135.765,0.68573,2.20531,1.20672,0.53663,0.76812,0.6733,0.45007,0.75716,3.16537,1.5802,0.00040012,0.00040012,0.00040012
2,255.337,0.70834,1.49732,1.22222,0.94961,0.68778,0.90054,0.65013,0.7954,2.75312,1.66754,0.000411338,0.000411338,0.000411338
1,111.973,0.68573,2.20531,1.20672,0.53663,0.76812,0.6733,0.45007,0.75716,3.16537,1.5802,0.00040012,0.00040012,0.00040012
2,230.88,0.70834,1.49732,1.22222,0.94961,0.68778,0.90054,0.65013,0.7954,2.75312,1.66754,0.000411338,0.000411338,0.000411338
1,112.015,0.68573,2.20531,1.20672,0.53663,0.76812,0.6733,0.45007,0.75716,3.16537,1.5802,0.00040012,0.00040012,0.00040012
